INSERT INTO ORDERBRANCHES (orderBranchId, orderId, branchId) VALUES
(800001, 670000001, 03),
(800002, 670000002, 06),
(800003, 670000003, 09),
(800004, 670000004, 05),
(800005, 670000005, 03),
(800006, 670000006, 01),
(800007, 670000007, 08),
(800008, 670000008, 04),
(800009, 670000009, 10),
(800010, 670000010, 08),
(800011, 670000011, 05),
(800012, 670000012, 09),
(800013, 670000013, 05),
(800014, 670000014, 06),
(800015, 670000015, 06),
(800016, 670000016, 07),
(800017, 670000017, 03),
(800018, 670000018, 10),
(800019, 670000019, 08),
(800020, 670000020, 07),
(800021, 670000021, 02),
(800022, 670000022, 04),
(800023, 670000023, 02),
(800024, 670000024, 06),
(800025, 670000025, 10),
(800026, 670000026, 09),
(800027, 670000027, 07),
(800028, 670000028, 04),
(800029, 670000029, 02),
(800030, 670000030, 03),
(800031, 670000031, 10),
(800032, 670000032, 04),
(800033, 670000033, 07),
(800034, 670000034, 09),
(800035, 670000035, 06),
(800036, 670000036, 09),
(800037, 670000037, 03),
(800038, 670000038, 08),
(800039, 670000039, 01),
(800040, 670000040, 07),
(800041, 670000041, 06),
(800042, 670000042, 09),
(800043, 670000043, 05),
(800044, 670000044, 07),
(800045, 670000045, 05),
(800046, 670000046, 03),
(800047, 670000047, 01),
(800048, 670000048, 02),
(800049, 670000049, 08),
(800050, 670000050, 05),
(800051, 670000051, 02),
(800052, 670000052, 05),
(800053, 670000053, 08),
(800054, 670000054, 04),
(800055, 670000055, 02),
(800056, 670000056, 09),
(800057, 670000057, 01),
(800058, 670000058, 02),
(800059, 670000059, 10),
(800060, 670000060, 09),
(800061, 670000061, 01),
(800062, 670000062, 08),
(800063, 670000063, 04),
(800064, 670000064, 01),
(800065, 670000065, 01),
(800066, 670000066, 06),
(800067, 670000067, 09),
(800068, 670000068, 04),
(800069, 670000069, 07),
(800070, 670000070, 04),
(800071, 670000071, 08),
(800072, 670000072, 02),
(800073, 670000073, 02),
(800074, 670000074, 10),
(800075, 670000075, 04),
(800076, 670000076, 10),
(800077, 670000077, 08),
(800078, 670000078, 07),
(800079, 670000079, 09),
(800080, 670000080, 08),
(800081, 670000081, 01),
(800082, 670000082, 02),
(800083, 670000083, 02),
(800084, 670000084, 05),
(800085, 670000085, 10),
(800086, 670000086, 09),
(800087, 670000087, 06),
(800088, 670000088, 09),
(800089, 670000089, 09),
(800090, 670000090, 09),
(800091, 670000091, 04),
(800092, 670000092, 03),
(800093, 670000093, 01),
(800094, 670000094, 07),
(800095, 670000095, 10),
(800096, 670000096, 01),
(800097, 670000097, 07),
(800098, 670000098, 08),
(800099, 670000099, 09),
(800100, 670000100, 07),
(800101, 670000101, 06),
(800102, 670000102, 01),
(800103, 670000103, 06),
(800104, 670000104, 09),
(800105, 670000105, 03),
(800106, 670000106, 09),
(800107, 670000107, 07),
