INSERT INTO ORDERDETAILS (orderId, productId, quantity, totalPrice) VALUES
(670000001, 300004, 3, 1000),
(670000001, 200104, 2, 1000),
(670000002, 200041, 1, 1000),
(670000002, 400035, 2, 1000),
(670000003, 300035, 3, 1000),
(670000003, 200127, 1, 1000),
(670000004, 400047, 1, 1000),
(670000004, 300004, 1, 1000),
(670000005, 100174, 1, 1000),
(670000005, 200042, 1, 1000),
(670000006, 100116, 3, 1000),
(670000006, 200013, 3, 1000),
(670000007, 100079, 1, 1000),
(670000007, 400033, 1, 1000),
(670000008, 400035, 3, 1000),
(670000008, 400008, 1, 1000),
(670000009, 300002, 2, 1000),
(670000009, 200130, 3, 1000),
(670000010, 100244, 3, 1000),
(670000010, 100039, 3, 1000),
(670000011, 300044, 3, 1000),
(670000011, 100021, 1, 1000),
(670000012, 300014, 1, 1000),
(670000012, 400023, 1, 1000),
(670000013, 100072, 2, 1000),
(670000013, 200095, 3, 1000),
(670000014, 400030, 3, 1000),
(670000014, 400014, 3, 1000),
(670000015, 200097, 2, 1000),
(670000015, 300030, 2, 1000),
(670000016, 400012, 3, 1000),
(670000016, 300010, 3, 1000),
(670000017, 400022, 2, 1000),
(670000017, 200085, 1, 1000),
(670000018, 200015, 3, 1000),
(670000018, 400041, 1, 1000),
(670000019, 200098, 1, 1000),
(670000019, 200077, 3, 1000),
(670000020, 400050, 2, 1000),
(670000020, 300012, 1, 1000),
(670000021, 100249, 2, 1000),
(670000021, 200105, 1, 1000),
(670000022, 400008, 3, 1000),
(670000022, 400023, 3, 1000),
(670000023, 200050, 2, 1000),
(670000023, 200123, 1, 1000),
(670000024, 400039, 2, 1000),
(670000024, 400002, 3, 1000),
(670000025, 400013, 3, 1000),
(670000025, 300005, 1, 1000),
(670000026, 100094, 2, 1000),
(670000026, 200018, 2, 1000),
(670000027, 100087, 1, 1000),
(670000027, 100027, 1, 1000),
(670000028, 400011, 3, 1000),
(670000028, 100022, 1, 1000),
(670000029, 300016, 3, 1000),
(670000029, 300001, 2, 1000),
(670000030, 400026, 1, 1000),
(670000030, 200040, 2, 1000),
(670000031, 300045, 2, 1000),
(670000031, 100096, 3, 1000),
(670000032, 200030, 3, 1000),
(670000032, 400032, 1, 1000),
(670000033, 400023, 2, 1000),
(670000033, 400025, 3, 1000),
(670000034, 100161, 1, 1000),
(670000034, 100132, 2, 1000),
(670000035, 200062, 3, 1000),
(670000035, 400034, 3, 1000),
(670000036, 400032, 3, 1000),
(670000036, 100211, 2, 1000),
(670000037, 400021, 2, 1000),
(670000037, 100248, 3, 1000),
(670000038, 100142, 1, 1000),
(670000038, 400014, 3, 1000),
(670000039, 100222, 2, 1000),
(670000039, 400015, 2, 1000),
(670000040, 200024, 1, 1000),
(670000040, 100125, 2, 1000),
(670000041, 200113, 3, 1000),
(670000041, 400001, 3, 1000),
(670000042, 100112, 1, 1000),
(670000042, 300040, 1, 1000),
(670000043, 300048, 3, 1000),
(670000043, 300028, 3, 1000),
(670000044, 200011, 3, 1000),
(670000044, 100149, 3, 1000),
(670000045, 200108, 2, 1000),
(670000045, 300029, 2, 1000),
(670000046, 200098, 3, 1000),
(670000046, 300019, 2, 1000),
(670000047, 400016, 2, 1000),
(670000047, 300036, 3, 1000),
(670000048, 100216, 1, 1000),
(670000048, 200042, 2, 1000),
(670000049, 300043, 1, 1000),
(670000049, 400011, 2, 1000),
(670000050, 400020, 1, 1000),
(670000050, 100184, 1, 1000),
(670000051, 100147, 2, 1000),
(670000051, 200142, 3, 1000),
(670000052, 400033, 1, 1000),
(670000052, 400016, 1, 1000),
(670000053, 400002, 1, 1000),
(670000053, 200127, 3, 1000),
(670000054, 100102, 2, 1000),
(670000054, 200057, 1, 1000),
(670000055, 100159, 3, 1000),
(670000055, 400005, 3, 1000),
(670000056, 400004, 1, 1000),
(670000056, 100037, 1, 1000),
(670000057, 400045, 3, 1000),
(670000057, 200138, 2, 1000),
(670000058, 200138, 2, 1000),
(670000058, 400041, 3, 1000),
(670000059, 100213, 2, 1000),
(670000059, 200111, 2, 1000),
(670000060, 300006, 2, 1000),
(670000060, 100039, 2, 1000),
(670000061, 300020, 1, 1000),
(670000061, 200020, 3, 1000),
(670000062, 200029, 2, 1000),
(670000062, 100238, 3, 1000),
(670000063, 300015, 2, 1000),
(670000063, 300024, 1, 1000),
(670000064, 300006, 1, 1000),
(670000064, 100233, 3, 1000),
(670000065, 200144, 2, 1000),
(670000065, 400030, 3, 1000),
(670000066, 400043, 1, 1000),
(670000066, 300015, 2, 1000),
(670000067, 300025, 1, 1000),
(670000067, 300042, 3, 1000),
(670000068, 200136, 1, 1000),
(670000068, 100012, 3, 1000),
(670000069, 400038, 2, 1000),
(670000069, 200114, 3, 1000),
(670000070, 300033, 1, 1000),
(670000070, 400009, 3, 1000),
(670000071, 200095, 1, 1000),
(670000071, 300030, 1, 1000),
(670000072, 200031, 1, 1000),
(670000072, 300016, 1, 1000),
(670000073, 300045, 2, 1000),
(670000073, 200027, 1, 1000),
(670000074, 200079, 3, 1000),
(670000074, 100200, 1, 1000),
(670000075, 400049, 3, 1000),
(670000075, 100071, 2, 1000),
(670000076, 100024, 1, 1000),
(670000076, 200060, 2, 1000),
(670000077, 300032, 1, 1000),
(670000077, 400024, 1, 1000),
(670000078, 300037, 1, 1000),
(670000078, 100207, 3, 1000),
(670000079, 400034, 1, 1000),
(670000079, 400041, 3, 1000),
(670000080, 300036, 3, 1000),
(670000080, 100175, 2, 1000),
(670000081, 300005, 1, 1000),
(670000081, 100117, 1, 1000),
(670000082, 400013, 2, 1000),
(670000082, 400014, 1, 1000),
(670000083, 400044, 2, 1000),
(670000083, 100019, 1, 1000),
(670000084, 400039, 1, 1000),
(670000084, 300001, 2, 1000),
(670000085, 200057, 3, 1000),
(670000085, 400041, 3, 1000),
(670000086, 100245, 2, 1000),
(670000086, 200058, 1, 1000),
(670000087, 300024, 3, 1000),
(670000087, 200033, 3, 1000),
(670000088, 200092, 3, 1000),
(670000088, 200140, 2, 1000),
(670000089, 100104, 2, 1000),
(670000089, 300027, 3, 1000),
(670000090, 300015, 1, 1000),
(670000090, 100025, 2, 1000),
(670000091, 400043, 2, 1000),
(670000091, 300034, 1, 1000),
(670000092, 200122, 2, 1000),
(670000092, 200092, 3, 1000),
(670000093, 200096, 1, 1000),
(670000093, 400011, 1, 1000),
(670000094, 400042, 1, 1000),
(670000094, 100150, 3, 1000),
(670000095, 200125, 3, 1000),
(670000095, 400033, 2, 1000),
(670000096, 200073, 3, 1000),
(670000096, 400043, 1, 1000),
(670000097, 400001, 1, 1000),
(670000097, 100137, 2, 1000),
(670000098, 300028, 2, 1000),
(670000098, 100090, 2, 1000),
(670000099, 200041, 2, 1000),
(670000099, 400024, 2, 1000),
(670000100, 100244, 1, 1000),
(670000100, 400019, 2, 1000),
(670000101, 100113, 3, 1000),
(670000101, 300024, 3, 1000),
(670000102, 300029, 3, 1000),
(670000102, 400005, 2, 1000),
(670000103, 400015, 1, 1000),
(670000103, 200139, 3, 1000),
(670000104, 100114, 3, 1000),
(670000104, 300047, 1, 1000),
(670000105, 100169, 1, 1000),
(670000105, 300030, 2, 1000),
(670000106, 300028, 2, 1000),
(670000106, 100126, 3, 1000),
(670000107, 100084, 2, 1000),
(670000107, 400044, 1, 1000),
(670000108, 100027, 1, 1000),
(670000108, 300037, 2, 1000),
(670000109, 400019, 1, 1000),
(670000109, 300012, 2, 1000),
(670000110, 300010, 1, 1000),
(670000110, 200100, 2, 1000),
(670000111, 400047, 1, 1000),
(670000111, 200066, 3, 1000),
(670000112, 100189, 1, 1000),
(670000112, 100032, 1, 1000),
(670000113, 200086, 1, 1000),
(670000113, 200061, 1, 1000),
(670000114, 100087, 3, 1000),
(670000114, 400024, 3, 1000),
(670000115, 400048, 3, 1000),
(670000115, 100109, 3, 1000),
(670000116, 100169, 1, 1000),
(670000116, 100176, 1, 1000),
(670000117, 100106, 1, 1000),
(670000117, 400035, 2, 1000),
(670000118, 300002, 2, 1000),
(670000118, 100167, 2, 1000),
(670000119, 300007, 3, 1000),
(670000119, 100020, 2, 1000),
(670000120, 400012, 3, 1000),
(670000120, 200143, 3, 1000),
(670000121, 300049, 1, 1000),
(670000121, 300041, 3, 1000),
(670000122, 200044, 3, 1000),
(670000122, 100120, 1, 1000),
(670000123, 100116, 1, 1000),
(670000123, 300002, 3, 1000),
(670000124, 400022, 1, 1000),
(670000124, 300041, 3, 1000),
(670000125, 300008, 1, 1000),
(670000125, 300004, 2, 1000),
(670000126, 100226, 1, 1000),
(670000126, 300019, 2, 1000),
(670000127, 400012, 2, 1000),
