INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100001, 1, 100001, '2024-06-01 10:15:00'),
(100002, 2, 100002, '2024-06-02 11:30:00'),
(100003, 3, 100003, '2024-06-03 12:45:00'),
(100004, 4, 100004, '2024-06-04 14:00:00'),
(100005, 5, 100005, '2024-06-05 15:15:00'),
(100006, 6, 100006, '2024-06-06 16:30:00'),
(100007, 7, 100007, '2024-06-07 17:45:00'),
(100008, 8, 100008, '2024-06-08 19:00:00'),
(100009, 9, 100009, '2024-06-09 20:15:00'),
(100010, 10, 100010, '2024-06-10 21:30:00'),
(100011, 1, 100011, '2024-06-11 22:45:00'),
(100012, 2, 100012, '2024-06-12 10:00:00'),
(100013, 3, 100013, '2024-06-13 11:15:00'),
(100014, 4, 100014, '2024-06-14 12:30:00'),
(100015, 5, 100015, '2024-06-15 13:45:00'),
(100016, 6, 100016, '2024-06-16 15:00:00'),
(100017, 7, 100017, '2024-06-17 16:15:00'),
(100018, 8, 100018, '2024-06-18 17:30:00'),
(100019, 9, 100019, '2024-06-19 18:45:00'),
(100020, 10, 100020, '2024-06-20 20:00:00'),
(100021, 1, 100021, '2024-06-21 21:15:00'),
(100022, 2, 100022, '2024-06-22 22:30:00'),
(100023, 3, 100023, '2024-06-23 23:45:00'),
(100024, 4, 100024, '2024-06-24 10:00:00'),
(100025, 5, 100025, '2024-06-25 11:15:00'),
(100026, 6, 100026, '2024-06-26 12:30:00'),
(100027, 7, 100027, '2024-06-27 13:45:00'),
(100028, 8, 100028, '2024-06-28 15:00:00'),
(100029, 9, 100029, '2024-06-29 16:15:00'),
(100030, 10, 100030, '2024-06-30 17:30:00'),
(100031, 1, 100031, '2024-07-01 18:45:00'),
(100032, 2, 100032, '2024-07-02 20:00:00'),
(100033, 3, 100033, '2024-07-03 21:15:00'),
(100034, 4, 100034, '2024-07-04 22:30:00'),
(100035, 5, 100035, '2024-07-05 23:45:00'),
(100036, 6, 100036, '2024-07-06 10:00:00'),
(100037, 7, 100037, '2024-07-07 11:15:00'),
(100038, 8, 100038, '2024-07-08 12:30:00'),
(100039, 9, 100039, '2024-07-09 13:45:00'),
(100040, 10, 100040, '2024-07-10 15:00:00'),
(100041, 1, 100041, '2024-07-11 16:15:00'),
(100042, 2, 100042, '2024-07-12 17:30:00'),
(100043, 3, 100043, '2024-07-13 18:45:00'),
(100044, 4, 100044, '2024-07-14 20:00:00'),
(100045, 5, 100045, '2024-07-15 21:15:00'),
(100046, 6, 100046, '2024-07-16 22:30:00'),
(100047, 7, 100047, '2024-07-17 23:45:00'),
(100048, 8, 100048, '2024-07-18 10:00:00'),
(100049, 9, 100049, '2024-07-19 11:15:00'),
(100050, 10, 100050, '2024-07-20 12:30:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100051, 1, 100051, '2024-07-21 13:45:00'),
(100052, 2, 100052, '2024-07-22 15:00:00'),
(100053, 3, 100053, '2024-07-23 16:15:00'),
(100054, 4, 100054, '2024-07-24 17:30:00'),
(100055, 5, 100055, '2024-07-25 18:45:00'),
(100056, 6, 100056, '2024-07-26 20:00:00'),
(100057, 7, 100057, '2024-07-27 21:15:00'),
(100058, 8, 100058, '2024-07-28 22:30:00'),
(100059, 9, 100059, '2024-07-29 23:45:00'),
(100060, 10, 100060, '2024-07-30 10:00:00'),
(100061, 1, 100061, '2024-07-31 11:15:00'),
(100062, 2, 100062, '2024-08-01 12:30:00'),
(100063, 3, 100063, '2024-08-02 13:45:00'),
(100064, 4, 100064, '2024-08-03 15:00:00'),
(100065, 5, 100065, '2024-08-04 16:15:00'),
(100066, 6, 100066, '2024-08-05 17:30:00'),
(100067, 7, 100067, '2024-08-06 18:45:00'),
(100068, 8, 100068, '2024-08-07 20:00:00'),
(100069, 9, 100069, '2024-08-08 21:15:00'),
(100070, 10, 100070, '2024-08-09 22:30:00'),
(100071, 1, 100071, '2024-08-10 23:45:00'),
(100072, 2, 100072, '2024-08-11 10:00:00'),
(100073, 3, 100073, '2024-08-12 11:15:00'),
(100074, 4, 100074, '2024-08-13 12:30:00'),
(100075, 5, 100075, '2024-08-14 13:45:00'),
(100076, 6, 100076, '2024-08-15 15:00:00'),
(100077, 7, 100077, '2024-08-16 16:15:00'),
(100078, 8, 100078, '2024-08-17 17:30:00'),
(100079, 9, 100079, '2024-08-18 18:45:00'),
(100080, 10, 100080, '2024-08-19 20:00:00'),
(100081, 1, 100081, '2024-08-20 21:15:00'),
(100082, 2, 100082, '2024-08-21 22:30:00'),
(100083, 3, 100083, '2024-08-22 23:45:00'),
(100084, 4, 100084, '2024-08-23 10:00:00'),
(100085, 5, 100085, '2024-08-24 11:15:00'),
