INSERT INTO PROMOTIONS (promotionId, promotionName, startDate, endDate) VALUES 
(100001, 'New Year Sale', '2024-01-01', '2024-01-10'),
(100002, 'Summer Flash Sale', '2024-04-01', '2024-04-07'),
(100003, 'Buy 1 Get 1 Free', '2024-05-01', '2024-05-10'),
(100004, 'Loyalty Discount', '2024-06-01', '2024-06-15'),
(100005, 'Mega Clearance', '2024-07-01', '2024-07-10'),
(100006, 'Weekend Special', '2024-08-01', '2024-08-05'),
(100007, 'Anniversary Sale', '2024-09-01', '2024-09-10'),
(100008, 'Mid-Year Madness', '2024-10-01', '2024-10-10'),
(100009, 'Holiday Blowout', '2024-11-01', '2024-11-15'),
(100010, 'Flash Friday', '2024-12-01', '2024-12-03'),
(100011, 'Summer Special', '2024-06-20', '2024-06-30'),
(100012, 'Black Friday', '2024-11-25', '2024-11-30'),
(100013, 'Cyber Monday', '2024-12-02', '2024-12-05'),
(100014, 'Christmas Sale', '2024-12-15', '2024-12-25'),
(100015, 'End of Season', '2024-01-15', '2024-01-20'),
(100016, 'Valentine Day Special', '2024-02-10', '2024-02-14'),
(100017, 'Spring Sale', '2024-03-01', '2024-03-10'),
(100018, 'Tech Deals', '2024-04-15', '2024-04-20'),
(100019, 'Back to School', '2024-07-15', '2024-07-30'),
(100020, 'Half Price Event', '2024-08-15', '2024-08-20'),
(100021, 'Limited Time Offer', '2024-09-15', '2024-09-18'),
(100022, 'Stock Clearance', '2024-10-15', '2024-10-20'),
(100023, 'October Fest', '2024-10-01', '2024-10-07'),
(100024, 'Winter Sale', '2024-12-01', '2024-12-12'),
(100025, 'Pre-Order Discount', '2024-02-20', '2024-02-28'),
(100026, 'Student Offer', '2024-05-15', '2024-05-20'),
(100027, 'Early Bird Special', '2024-03-15', '2024-03-18'),
(100028, 'Limited Stock Sale', '2024-06-05', '2024-06-10'),
(100029, 'Referral Bonus', '2024-01-25', '2024-01-30'),
(100030, 'New Arrival Discount', '2024-09-25', '2024-09-30'),
(100031, 'Exclusive Deal', '2024-07-25', '2024-07-27'),
(100032, 'Holiday Countdown', '2024-12-10', '2024-12-20'),
(100033, 'Spring Frenzy', '2024-04-05', '2024-04-12'),
(100034, 'Weekend Bonanza', '2024-07-05', '2024-07-07'),
(100035, 'Gift with Purchase', '2024-03-10', '2024-03-15'),
(100036, 'Bonus Points Offer', '2024-06-25', '2024-06-30'),
(100037, 'Special Member Sale', '2024-11-05', '2024-11-07'),
(100038, 'Shop and Save', '2024-08-25', '2024-08-30'),
(100039, 'Clearance Event', '2024-05-05', '2024-05-12'),
(100040, 'Last Chance Sale', '2024-02-05', '2024-02-08'),
(100041, 'Exclusive Savings', '2024-04-20', '2024-04-25'),
(100042, 'Flash Hour', '2024-01-05', '2024-01-05'),
(100043, 'Bonus Cash Offer', '2024-09-05', '2024-09-08'),
(100044, 'VIP Sale', '2024-10-25', '2024-10-28'),
(100045, 'Midnight Madness', '2024-12-24', '2024-12-25'),
(100046, 'First Purchase Discount', '2024-03-05', '2024-03-10'),
(100047, 'Bundle Offer', '2024-02-25', '2024-02-28'),
(100048, 'Double Points', '2024-05-25', '2024-05-28'),
(100049, 'New Year Countdown', '2024-12-28', '2024-12-31'),
(100050, 'Super Saver Deal', '2024-11-20', '2024-11-25');



INSERT INTO PROMOTIONPRODUCTS (promotionProductId, productId, promotionId, promotionAmount) VALUES
(300001, 100001, 100001, 500.00),
(300002, 100010, 100002, 700.00),
(300003, 100015, 100003, 600.00),
(300004, 200001, 100004, 50.00),
(300005, 200010, 100005, 75.00),
(300006, 100020, 100006, 800.00),
(300007, 100025, 100007, 900.00),
