INSERT INTO SHIPMENTS (shipmentId, shipmentStatus, shipmentDate, shipmentMethod, shipmentCost, customerId, trackingNumber) VALUES
(770001, 'Delivered', '2024-01-01 10:15:00', 'Freight Shipping', 200, 100000001, 'AGMZQ6601707119'),
(770002, 'Delivered', '2024-01-01 23:51:40', 'Same-Day Delivery', 50, 100000002, 'AOJNT4468977001'),
(770003, 'Delivered', '2024-01-02 13:28:20', 'Standard Shipping', 50, 100000003, 'ARWPQ1740220835'),
(770004, 'Delivered', '2024-01-03 03:05:01', 'Express Shipping', 200, 100000004, 'XNOMC6642214183'),
(770005, 'Delivered', '2024-01-03 16:41:41', 'Express Shipping', 100, 100000005, 'ROHBU9200030534'),
(770006, 'Delivered', '2024-01-04 06:18:22', 'Express Shipping', 100, 100000006, 'KCPQO2984506055'),
(770007, 'Delivered', '2024-01-04 19:55:02', 'Freight Shipping', 250, 100000007, 'GSWTL9794635619'),
(770008, 'Delivered', '2024-01-05 09:31:42', 'Freight Shipping', 250, 100000008, 'VWYPN1369848120'),
(770009, 'Delivered', '2024-01-05 23:08:23', 'Express Shipping', 150, 100000009, 'CPOEO0438581310'),
(770010, 'Delivered', '2024-01-06 12:45:03', 'Freight Shipping', 100, 100000010, 'SEJKT8052224066'),
(770011, 'Delivered', '2024-01-07 02:21:44', 'Standard Shipping', 100, 100000011, 'VMSGB2289128130'),
(770012, 'Delivered', '2024-01-07 15:58:24', 'Express Shipping', 50, 100000012, 'YDNSI3506474483'),
(770013, 'Delivered', '2024-01-08 05:35:04', 'Freight Shipping', 250, 100000013, 'LSCTL6578581262'),
(770014, 'Delivered', '2024-01-08 19:11:45', 'Express Shipping', 100, 100000014, 'UAWSO0412650460'),
(770015, 'Delivered', '2024-01-09 08:48:25', 'Express Shipping', 150, 100000015, 'FHAGE8428613777'),
(770016, 'Delivered', '2024-01-09 22:25:06', 'Express Shipping', 250, 100000016, 'SCJNB5881386552'),
(770017, 'Delivered', '2024-01-10 12:01:46', 'Standard Shipping', 300, 100000017, 'CQTDZ3959497493'),
(770018, 'Delivered', '2024-01-11 01:38:26', 'Standard Shipping', 250, 100000018, 'PLEBN2902609211'),
(770019, 'Delivered', '2024-01-11 15:15:07', 'Standard Shipping', 300, 100000019, 'WICKK9599131067'),
(770020, 'Delivered', '2024-01-12 04:51:47', 'Express Shipping', 150, 100000020, 'PHNHP4433368119'),
(770021, 'Delivered', '2024-01-12 18:28:28', 'Standard Shipping', 200, 100000021, 'FKNPX4228224576'),
(770022, 'Delivered', '2024-01-13 08:05:08', 'Express Shipping', 100, 100000022, 'JTAUY6378112290'),
(770023, 'Delivered', '2024-01-13 21:41:48', 'Standard Shipping', 200, 100000023, 'XBAAF1359011598'),
(770024, 'Delivered', '2024-01-14 11:18:29', 'Standard Shipping', 250, 100000024, 'XZKLR5563449147'),
(770025, 'Delivered', '2024-01-15 00:55:09', 'Freight Shipping', 200, 100000025, 'WBISY1900537969'),
(770026, 'Delivered', '2024-01-15 14:31:50', 'Same-Day Delivery', 250, 100000026, 'FWGTX8352809090'),
(770027, 'Delivered', '2024-01-16 04:08:30', 'Same-Day Delivery', 150, 100000027, 'PNSGQ3458191021'),
(770028, 'Delivered', '2024-01-16 17:45:10', 'Express Shipping', 250, 100000028, 'QPHMJ9456490475'),
(770029, 'Delivered', '2024-01-17 07:21:51', 'Freight Shipping', 250, 100000029, 'PQGJR9456262238'),
(770030, 'Delivered', '2024-01-17 20:58:31', 'Express Shipping', 50, 100000030, 'AOWVA9835924308'),
(770031, 'Delivered', '2024-01-18 10:35:12', 'Same-Day Delivery', 250, 100000031, 'VCRUN7358161193'),
(770032, 'Delivered', '2024-01-19 00:11:52', 'Express Shipping', 150, 100000032, 'CWDND6446303967'),
(770033, 'Delivered', '2024-01-19 13:48:32', 'Standard Shipping', 100, 100000033, 'SUKQK6180689436'),
(770034, 'Delivered', '2024-01-20 03:25:13', 'Express Shipping', 200, 100000034, 'KXWJF4269328745'),
(770035, 'Delivered', '2024-01-20 17:01:53', 'Standard Shipping', 200, 100000035, 'SLTLR3727671212'),
(770036, 'Delivered', '2024-01-21 06:38:34', 'Express Shipping', 150, 100000036, 'APNLZ6461675616'),
(770037, 'Delivered', '2024-01-21 20:15:14', 'Same-Day Delivery', 100, 100000037, 'VOKLD5682775394'),
(770038, 'Delivered', '2024-01-22 09:51:54', 'Freight Shipping', 100, 100000038, 'HQYHH2762609513'),
(770039, 'Delivered', '2024-01-22 23:28:35', 'Standard Shipping', 150, 100000039, 'QLCII1835137438'),
(770040, 'Delivered', '2024-01-23 13:05:15', 'Freight Shipping', 150, 100000040, 'ROVSD3300026009'),
(770041, 'Delivered', '2024-01-24 02:41:56', 'Same-Day Delivery', 50, 100000041, 'VOXTN7541923749'),
(770042, 'Delivered', '2024-01-24 16:18:36', 'Freight Shipping', 150, 100000042, 'SNQXY1362184569'),
(770043, 'Delivered', '2024-01-25 05:55:16', 'Same-Day Delivery', 100, 100000043, 'IHBRV2876370804'),
(770044, 'Delivered', '2024-01-25 19:31:57', 'Same-Day Delivery', 50, 100000044, 'RZDCX9361578662'),
(770045, 'Delivered', '2024-01-26 09:08:37', 'Express Shipping', 50, 100000045, 'CSHDV4944707691'),
(770046, 'Delivered', '2024-01-26 22:45:18', 'Freight Shipping', 150, 100000046, 'LLOQG0186416152'),
(770047, 'Delivered', '2024-01-27 12:21:58', 'Express Shipping', 200, 100000047, 'WXNWH2868611358'),
(770048, 'Delivered', '2024-01-28 01:58:38', 'Same-Day Delivery', 150, 100000048, 'STXAG1733987428'),
(770049, 'Delivered', '2024-01-28 15:35:19', 'Standard Shipping', 100, 100000049, 'MDHFU0824389820'),
(770050, 'Delivered', '2024-01-29 05:11:59', 'Express Shipping', 250, 100000050, 'LBZVO9684503334'),
(770051, 'Delivered', '2024-01-29 18:48:40', 'Freight Shipping', 300, 100000051, 'XCVFU9568606663'),
(770052, 'Delivered', '2024-01-30 08:25:20', 'Standard Shipping', 50, 100000052, 'GHZCI0563113489'),
