INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660001, '2024-07-01 10:00:00', 12, 0, 100000123, 100012),
(660002, '2024-07-03 11:30:00', 6, 0, 100000250, 400012),
(660003, '2024-07-04 14:00:00', 24, 1, 100000140, 100008),
(660004, '2024-07-05 09:15:00', 12, 0, 100000190, 100020),
(660005, '2024-07-06 15:45:00', 3, 0, 100000380, 400040),
(660006, '2024-07-07 12:00:00', 6, 1, 100000310, 100015),
(660007, '2024-07-08 13:30:00', 12, 0, 100000222, 100022),
(660008, '2024-07-10 08:15:00', 24, 1, 100000112, 400001),
(660009, '2024-07-12 17:00:00', 6, 0, 100000450, 400010),
(660010, '2024-07-14 16:00:00', 12, 0, 100000020, 100025),
(660011, '2024-07-15 10:45:00', 3, 1, 100000305, 100009),
(660012, '2024-07-16 14:30:00', 6, 0, 100000048, 100005),
(660013, '2024-07-18 11:15:00', 24, 1, 100000037, 400024),
(660014, '2024-07-20 12:30:00', 12, 0, 100000125, 100021),
(660015, '2024-07-21 09:00:00', 6, 0, 100000368, 400022),
(660016, '2024-07-22 10:30:00', 12, 1, 100000199, 100013),
(660017, '2024-07-24 13:00:00', 3, 0, 100000262, 400037),
(660018, '2024-07-26 15:15:00', 24, 0, 100000333, 100018),
(660019, '2024-07-27 16:45:00', 12, 0, 100000185, 400005),
(660020, '2024-07-29 14:00:00', 6, 1, 100000248, 100001),
(660021, '2024-08-01 09:45:00', 12, 0, 100000029, 100023),
(660022, '2024-08-02 10:15:00', 24, 1, 100000250, 400047),
(660023, '2024-08-03 11:00:00', 6, 0, 100000060, 100019),
(660024, '2024-08-05 12:30:00', 12, 0, 100000130, 400034),
(660025, '2024-08-06 13:45:00', 3, 0, 100000075, 100014),
(660026, '2024-08-07 15:00:00', 6, 1, 100000212, 400039),
(660027, '2024-08-08 10:00:00', 12, 0, 100000440, 400025),
(660028, '2024-08-10 14:00:00', 12, 1, 100000205, 100017),
(660029, '2024-08-11 11:30:00', 6, 0, 100000006, 400046),
(660030, '2024-08-12 12:45:00', 24, 1, 100000300, 100004),
(660031, '2024-08-13 16:00:00', 12, 0, 100000017, 400002),
(660032, '2024-08-15 17:15:00', 6, 0, 100000368, 400012),
(660033, '2024-08-16 18:30:00', 12, 1, 100000073, 100011),
(660034, '2024-08-17 19:45:00', 3, 0, 100000242, 400019),
(660035, '2024-08-18 08:15:00', 6, 0, 100000012, 400048),
(660036, '2024-08-19 09:00:00', 12, 0, 100000068, 400026),
(660037, '2024-08-20 10:15:00', 24, 1, 100000091, 100010),
(660038, '2024-08-21 11:30:00', 6, 0, 100000084, 100003),
(660039, '2024-08-22 14:00:00', 12, 0, 100000222, 400011),
(660040, '2024-08-23 15:30:00', 3, 1, 100000145, 400017),
(660041, '2024-08-24 09:00:00', 6, 0, 100000038, 100021),
(660042, '2024-08-25 12:30:00', 12, 0, 100000171, 400035),
(660043, '2024-08-26 10:45:00', 24, 1, 100000107, 100022),
(660044, '2024-08-27 15:00:00', 6, 0, 100000082, 400003),
(660045, '2024-08-28 14:15:00', 12, 0, 100000292, 100008),
(660046, '2024-08-29 17:30:00', 3, 1, 100000049, 400004),
(660047, '2024-08-30 11:00:00', 12, 0, 100000200, 400014),
(660048, '2024-08-31 16:30:00', 6, 0, 100000256, 100020),
(660049, '2024-07-20 18:00:00', 12, 1, 100000098, 400041),
(660050, '2024-08-29 19:00:00', 3, 0, 100000123, 400007);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660051, '2024-07-01 10:30:00', 12, 0, 100000101, 100051),
(660052, '2024-07-03 12:15:00', 6, 1, 100000075, 400016),
(660053, '2024-07-05 14:45:00', 24, 0, 100000260, 100049),
(660054, '2024-07-06 15:00:00', 12, 1, 100000135, 100035),
(660055, '2024-07-08 17:30:00', 6, 0, 100000180, 400003),
(660056, '2024-07-09 09:45:00', 12, 0, 100000045, 100022),
(660057, '2024-07-10 10:00:00', 3, 1, 100000145, 400021),
(660058, '2024-07-12 14:00:00', 12, 0, 100000240, 100042),
(660059, '2024-07-13 11:30:00', 24, 0, 100000195, 400047),
(660060, '2024-07-14 08:15:00', 6, 0, 100000088, 100011),
(660061, '2024-07-16 10:15:00', 12, 1, 100000020, 400012),
(660062, '2024-07-17 11:00:00', 6, 0, 100000021, 100029),
(660063, '2024-07-18 12:30:00', 12, 0, 100000250, 400024),
(660064, '2024-07-19 14:45:00', 3, 1, 100000111, 100017),
(660065, '2024-07-20 09:30:00', 6, 0, 100000135, 100033),
(660066, '2024-07-21 10:00:00', 12, 0, 100000007, 400013),
(660067, '2024-07-22 11:15:00', 24, 1, 100000310, 100050),
(660068, '2024-07-24 15:30:00', 12, 0, 100000420, 400042),
(660069, '2024-07-25 12:15:00', 6, 0, 100000018, 100046),
(660070, '2024-07-26 09:45:00', 12, 1, 100000133, 100040),
(660071, '2024-07-27 10:30:00', 3, 0, 100000187, 400006),
(660072, '2024-07-29 14:00:00', 6, 0, 100000007, 100052),
(660073, '2024-08-01 09:30:00', 12, 1, 100000239, 400025),
(660074, '2024-08-02 14:15:00', 24, 0, 100000064, 100030),
(660075, '2024-08-04 11:45:00', 6, 1, 100000190, 100048),
(660076, '2024-08-05 12:30:00', 12, 0, 100000080, 400044),
(660077, '2024-08-06 13:00:00', 3, 0, 100000162, 100045),
(660078, '2024-08-07 10:30:00', 12, 0, 100000057, 400022),
(660079, '2024-08-09 09:00:00', 6, 1, 100000250, 100038),
(660080, '2024-08-10 14:30:00', 12, 0, 100000093, 400019),
(660081, '2024-08-11 15:15:00', 24, 1, 100000013, 400004),
(660082, '2024-08-12 09:45:00', 6, 0, 100000239, 100012),
(660083, '2024-08-13 10:30:00', 12, 0, 100000032, 100043),
(660084, '2024-08-14 14:00:00', 3, 1, 100000014, 400049),
(660085, '2024-08-15 11:15:00', 6, 0, 100000129, 400020),
(660086, '2024-08-16 12:00:00', 12, 0, 100000042, 100001),
(660087, '2024-08-17 09:00:00', 24, 1, 100000094, 400014),
(660088, '2024-08-19 11:30:00', 6, 0, 100000097, 100006),
(660089, '2024-08-20 15:30:00', 12, 0, 100000010, 400050),
(660090, '2024-08-21 10:15:00', 3, 1, 100000202, 100019),
(660091, '2024-08-22 12:45:00', 6, 0, 100000029, 100016),
(660092, '2024-08-23 13:30:00', 12, 0, 100000063, 400018),
(660093, '2024-08-24 14:00:00', 24, 1, 100000081, 400033),
(660094, '2024-08-25 15:15:00', 6, 0, 100000092, 100050),
(660095, '2024-08-26 16:30:00', 12, 0, 100000116, 100013),
(660096, '2024-08-27 18:00:00', 3, 1, 100000222, 400008),
(660097, '2024-08-28 11:00:00', 6, 0, 100000054, 400035),
(660098, '2024-08-29 12:00:00', 12, 1, 100000165, 400022),
(660099, '2024-08-30 14:15:00', 6, 0, 100000135, 100025),
(660100, '2024-08-31 16:30:00', 12, 0, 100000028, 400010);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660101, '2024-07-01 08:45:00', 12, 0, 100000160, 100043),
(660102, '2024-07-02 14:15:00', 6, 1, 100000205, 400035),
(660103, '2024-07-03 11:30:00', 12, 0, 100000049, 100022),
(660104, '2024-07-04 09:00:00', 24, 1, 100000034, 100045),
(660105, '2024-07-05 10:00:00', 6, 0, 100000220, 400019),
(660106, '2024-07-06 15:30:00', 12, 0, 100000013, 100016),
(660107, '2024-07-07 12:15:00', 3, 1, 100000112, 400014),
(660108, '2024-07-08 14:00:00', 6, 0, 100000036, 100037),
(660109, '2024-07-09 17:00:00', 12, 1, 100000147, 400006),
(660110, '2024-07-10 10:30:00', 24, 0, 100000240, 100042),
(660111, '2024-07-11 09:15:00', 6, 1, 100000087, 100027),
(660112, '2024-07-12 14:30:00', 12, 0, 100000054, 400008),
(660113, '2024-07-13 13:45:00', 3, 1, 100000172, 100046),
(660114, '2024-07-14 15:00:00', 12, 0, 100000062, 100048),
(660115, '2024-07-15 10:45:00', 6, 1, 100000119, 400021),
(660116, '2024-07-16 11:15:00', 24, 0, 100000231, 400034),
(660117, '2024-07-17 09:30:00', 12, 0, 100000049, 100024),
(660118, '2024-07-18 14:45:00', 6, 1, 100000145, 100039),
(660119, '2024-07-19 15:30:00', 12, 0, 100000155, 400007),
(660120, '2024-07-20 12:00:00', 3, 0, 100000076, 400018),
(660121, '2024-07-21 10:30:00', 6, 1, 100000030, 100038),
(660122, '2024-07-22 16:15:00', 12, 0, 100000071, 100026),
(660123, '2024-07-23 08:00:00', 3, 1, 100000224, 400036),
(660124, '2024-07-24 11:45:00', 6, 0, 100000040, 400049),
(660125, '2024-07-25 10:15:00', 12, 1, 100000003, 400029),
(660126, '2024-07-26 09:30:00', 6, 0, 100000083, 100021),
(660127, '2024-07-27 14:00:00', 12, 0, 100000066, 100014),
(660128, '2024-07-28 13:15:00', 24, 1, 100000204, 400046),
(660129, '2024-07-29 15:30:00', 12, 0, 100000164, 400004),
(660130, '2024-07-30 10:00:00', 6, 1, 100000143, 100007),
(660131, '2024-07-31 11:00:00', 12, 0, 100000051, 400027),
(660132, '2024-08-01 14:45:00', 6, 1, 100000020, 100031),
(660133, '2024-08-02 09:15:00', 12, 0, 100000190, 400045),
(660134, '2024-08-03 10:30:00', 3, 0, 100000127, 100003),
(660135, '2024-08-04 12:00:00', 6, 1, 100000070, 400011),
(660136, '2024-08-05 15:15:00', 12, 0, 100000085, 100041),
(660137, '2024-08-06 11:45:00', 24, 1, 100000122, 400048),
(660138, '2024-08-07 14:00:00', 6, 0, 100000230, 100017),
(660139, '2024-08-08 13:30:00', 12, 1, 100000102, 100044),
(660140, '2024-08-09 09:45:00', 3, 0, 100000055, 400031),
(660141, '2024-08-10 10:15:00', 6, 0, 100000094, 100012),
(660142, '2024-08-11 11:30:00', 12, 1, 100000098, 400013),
(660143, '2024-08-12 15:45:00', 24, 0, 100000179, 400026),
(660144, '2024-08-13 09:00:00', 6, 0, 100000107, 100025),
(660145, '2024-08-14 12:15:00', 12, 1, 100000126, 400023),
(660146, '2024-08-15 14:00:00', 3, 0, 100000221, 100018),
(660147, '2024-08-16 10:30:00', 6, 0, 100000211, 400002),
(660148, '2024-08-17 11:15:00', 12, 1, 100000192, 400025),
(660149, '2024-08-18 09:30:00', 6, 0, 100000172, 100039),
(660150, '2024-08-19 10:00:00', 12, 0, 100000080, 400046);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660151, '2024-07-20 10:15:00', 12, 1, 100000045, 100015),
(660152, '2024-07-21 14:00:00', 6, 0, 100000053, 400024),
(660153, '2024-07-22 08:30:00', 12, 1, 100000076, 100046),
(660154, '2024-07-23 11:00:00', 3, 0, 100000144, 400049),
(660155, '2024-07-24 16:30:00', 24, 0, 100000033, 100034),
(660156, '2024-07-25 12:45:00', 6, 1, 100000202, 100002),
(660157, '2024-07-26 15:15:00', 12, 0, 100000110, 400011),
(660158, '2024-07-27 14:15:00', 6, 1, 100000191, 400045),
(660159, '2024-07-28 13:00:00', 12, 0, 100000177, 100018),
(660160, '2024-07-29 09:30:00', 3, 1, 100000012, 400037),
(660161, '2024-07-30 11:45:00', 6, 0, 100000024, 100049),
(660162, '2024-07-31 10:30:00', 12, 0, 100000097, 400028),
(660163, '2024-08-01 14:00:00', 24, 1, 100000067, 100039),
(660164, '2024-08-02 13:15:00', 6, 0, 100000115, 100031),
(660165, '2024-08-03 10:00:00', 12, 1, 100000180, 400012),
(660166, '2024-08-04 09:30:00', 3, 0, 100000222, 100025),
(660167, '2024-08-05 12:00:00', 6, 1, 100000096, 400017),
(660168, '2024-08-06 14:15:00', 12, 0, 100000085, 400014),
(660169, '2024-08-07 15:00:00', 6, 1, 100000039, 100047),
(660170, '2024-08-08 10:45:00', 24, 0, 100000038, 400009),
(660171, '2024-08-09 13:30:00', 12, 1, 100000167, 400029),
(660172, '2024-08-10 08:15:00', 6, 0, 100000218, 100016),
(660173, '2024-08-11 14:00:00', 3, 0, 100000056, 400001),
(660174, '2024-08-12 09:15:00', 12, 1, 100000204, 100048),
(660175, '2024-08-13 11:00:00', 6, 0, 100000193, 400002),
(660176, '2024-08-14 12:30:00', 12, 1, 100000021, 100043),
(660177, '2024-08-15 15:45:00', 3, 0, 100000024, 400025),
(660178, '2024-08-16 10:15:00', 6, 1, 100000134, 100030),
(660179, '2024-08-17 11:30:00', 12, 0, 100000101, 400046),
(660180, '2024-08-18 13:00:00', 24, 1, 100000140, 100023),
(660181, '2024-08-19 14:15:00', 6, 0, 100000172, 400045),
(660182, '2024-08-20 09:00:00', 12, 1, 100000045, 100012),
(660183, '2024-08-21 10:45:00', 3, 0, 100000035, 400036),
(660184, '2024-08-22 15:15:00', 6, 1, 100000027, 100026),
(660185, '2024-08-23 14:00:00', 12, 0, 100000118, 400032),
(660186, '2024-08-24 10:30:00', 24, 1, 100000102, 100001),
(660187, '2024-08-25 13:30:00', 6, 0, 100000048, 400020),
(660188, '2024-08-26 15:00:00', 12, 1, 100000178, 400047),
